time,speed,gradient
1079.2,20.6,-0.125464
1083.41,20.6,-0
1086.37,20.6,0.054847
1090,20.6,0
1093.57,20.6,0.266251
1097.39,20.6,-0.119429
1100.9,20.6,-0.483126
1104.01,20.6,-0
1106.5,20.6,0.170212
1108.76,20.6,-0.0867378
1111.32,20.6,0
1114.45,20.6,-0.0688564
1117.74,20.6,0
1118.99,20.6,-0.130827
1121.41,20,-0.0801848
1126.5,20,0
1129.24,20,-0.0927564
1132.36,20.3,0
1135.36,20.3,-0
1136.96,20.3,-0.038713
1144.81,20.3,-0.0150068
1152.76,20.3,0
1154.28,20,0.0159804
1159.82,20.8,0.0292314
1164.63,20.8,-0.231091
1167.27,20.8,-0
1169.48,20.8,0.407631
1175.89,20.8,0
1177.92,21.1,-0
1180.27,21.7,0.179854
1183.13,21.7,0
1184.95,21.7,-0
1187.09,21.7,0
1189.26,21.7,0.321752
1190.94,21.7,-0
1192.31,21.7,-0
1193.5,21.9,-0
1196.06,21.9,-0.0298915
1198.41,21.9,-0
1200.58,21.9,-0.746456
1202.83,21.9,0
1205.01,21.9,-0.885068
1208.31,22.2,0
1211.46,21.9,1.19029
1213.96,21.9,-0
1216.89,21.9,0
1218.13,21.9,-0
1218.87,21.7,-0.391048
1221.05,21.7,0
1222.92,21.4,-0
1225.22,21.1,0.0704712
1227.41,21.1,-0
1227.95,21.1,0.108455
1231.62,20.8,-0.00458717
1234.46,20.6,0.0593895
1237.81,20.6,0
1240.01,20.6,-0
1242.09,20.6,-0.721655
1244.12,20.6,-0
1246.75,20.6,0
1248.46,20.6,-0.152252
1250.21,20.6,0.896054
1253.19,20.6,0
1256.19,20.6,1.5051
1258.92,20.6,-0
1259.44,20.8,-0
1261.56,21.1,-0.203129
1265.1,21.1,0
1267.12,21.9,-0
1269.7,21.9,0
1272.09,21.9,-0
1274.13,21.9,-0.615186
1277.23,21.9,0
1279.48,21.9,0.271222
1281.78,21.9,0.694738
1283.68,21.9,-0.212645
1287.87,22.2,0
1289.75,22.2,-0.0116953
1294.55,22.2,0
1296.48,22.2,-0.0476586
1300.66,22.2,0
1304.4,21.9,-0.220647
1310.09,21.9,-0.0751524
1314.11,21.1,-0.0619553
1319.65,21.1,-0.0367931
1329.1,21.1,0
1333.73,20.8,-0.0232742
1339.92,20.8,-0.0030866
1345.6,20.8,-0.222661
1349.22,20.8,-0.286305
1354.5,20.8,0
1356.91,21.1,-0.121638
1359.29,21.1,-0
1360.76,21.4,-0
1363.46,21.9,0.135849
1365.99,21.9,1.19781
1371.48,21.9,0
1375.41,21.9,-0.306721
1377.7,21.9,0.072097
1385.95,22.2,-0.0840753
1390.32,22.8,0.0705415
1394.72,22.8,1.26791
1398.59,22.8,-0
1401,22.8,-0.159246
1403.07,22.8,0.473597
1405.84,22.8,0.716654
1408.75,22.8,0
1411.46,21.7,-0.804751
1413.99,21.7,-0
1416.71,21.7,-0.61562
1419.31,21.7,-0
1421.6,21.7,-0
1424.58,21.7,-0.361729
1427.35,21.7,-0.827926
1430.73,21.7,0
1433.77,21.7,0.706426
1437.11,21.7,0
1439.81,21.7,-0
1442.2,21.7,-0.131588
1445.04,21.7,0.27563
1448.04,21.7,0.82647
1450.83,21.7,-0
1454.1,21.7,-0.307258
1457.63,19.4,-0
1458.68,19.4,-0
1460.69,19.4,0.178917
1461.7,19.4,-0.0517672
1463.79,19.4,-0.00961494
1470.99,19.4,0.00804006
1476.16,19.4,0.0454234
1479.17,19.4,-0
1481.24,19.4,-0
1483.29,19.4,-1.40565
1486.03,19.4,0
1487.7,19.4,-0
1488.43,19.7,-0
1489.38,19.7,0
1490.25,19.7,-1.40565
1493.61,20.3,0
1496.67,20.3,0.0491412
